Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
Tank.LWBTP-05.DB,DB3.REAL1446,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-05.Dens,DB3.REAL1450,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-05.LI,DB3.REAL1410,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-05.Mode,DB3.WORD1424,Word,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-05.OWSelect,DB3.X1422.0,Boolean,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-05.PV,DB3.REAL1430,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-05.Ready,DB3.X1422.1,Boolean,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-05.SP,DB3.REAL1426,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-05.SP_Ctrl,DB3.REAL1462,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-05.SPLVH,DB3.REAL1454,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-05.SPLVL,DB3.REAL1458,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-05.VI,DB3.REAL1414,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-05.Volume,DB3.REAL1434,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-05.WI,DB3.REAL1418,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-10.CDBLVH,DB3.REAL2566,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-10.CDBLVL,DB3.REAL2570,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-10.DB,DB3.REAL2574,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-10.Dens,DB3.REAL2578,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-10.LI,DB3.REAL2538,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-10.Mode,DB3.WORD2552,Word,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-10.OWSelect,DB3.X2550.0,Boolean,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-10.PV,DB3.REAL2558,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-10.Ready,DB3.X2550.1,Boolean,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-10.SP,DB3.REAL2554,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-10.SP_Ctrl,DB3.REAL2590,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-10.SPLVH,DB3.REAL2582,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-10.SPLVL,DB3.REAL2586,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-10.VI,DB3.REAL2542,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-10.Volume,DB3.REAL2562,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-10.WI,DB3.REAL2546,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-11.CDBLVH,DB3.REAL2942,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-11.CDBLVL,DB3.REAL2946,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-11.DB,DB3.REAL2950,Float,1,R/W,1000,,,,,,,,,,,
